Rank,Last Name,display,Initials,Conflict,Status,Service,Unit,Campaign,Gender,Decorations,Serv.No,Notes,Memorial,Memorial id,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,Young,W L Young,W.L.,,Died on service,,,,,,,Separate board at front of church,19,15,,,,,,,,
,Younghusband,A W Younghusband,A.W.,,Died on service,,,,,,,Separate board at front of church,19,15,,,,,,,,
,ACKLAND,R E Ackland,R.E.,,Killed in action,,,,,,,,6,4,,,,,,,,
,ALLERTON,J P Allerton,J.P.,,,,,,,,,,6,4,,,,,,,,
,AXTENS,J W Axtens,J.W.,,,,,,,,,,6,4,,,,,,,,
,AXTENS,R H Axtens,R.H.,,,,,,,,,,6,4,,,,,,,,
,BARBER,C Barber,C.,,,,,,,,,,6,4,,,,,,,,
,BARRY,L H Barry,L.H.,,,,,,,,,,6,4,,,,,,,,
,BARRY,A S Barry,A.S.,,,,,,,,,,6,4,,,,,,,,
,BISHOP,E E Bishop,E.E.,,Killed in action,,,,,,,,6,4,,,,,,,,
,BISHOP,J L Bishop,J.L.,,Killed in action,,,,,,,,6,4,,,,,,,,
,BRADY,F G Brady,F.G.,,Killed in action,,,,,,,,6,4,,,,,,,,
,BRADY,G A P Brady,G.A.P.,,,,,,,,,,6,4,,,,,,,,
,BRADY,S H Brady,S.H.,,,,,,,,,,6,4,,,,,,,,
,BROADBENT,N J Broadbent,N.J.,,,,,,,,,,6,4,,,,,,,,
,CALDWELL,A E Caldwell,A.E.,,,,,,,,,,6,4,,,,,,,,
,CAMMACK,W Cammack,W.,,Killed in action,,,,,,,,6,4,,,,,,,,
,CARRUTHERS,B M Carruthers,B.M.,,,,,,,,,,6,4,,,,,,,,
,CLARK,W J Clark,W.J.,,,,,,,,,,6,4,,,,,,,,
,COOKE,C H Cooke,C.H.,,,,,,,,,,6,4,,,,,,,,
,COOKE,F R Cooke,F.R.,,,,,,,,,,6,4,,,,,,,,
,CORBETT,H Corbett,H.,,,,,,,,,,6,4,,,,,,,,
,DAVIES,W Davies,W.,,,,,,,,,,6,4,,,,,,,,
,DOBINSON,J Dobinson,J.,,,,,,,,,,6,4,,,,,,,,
,DONALDSON,J W Donaldson,J.W.,,,,,,,,,,6,4,,,,,,,,
,EAST,C W East,C.W.,,,,,,,,,,6,4,,,,,,,,
,EWART,A T Ewart,A.T.,,,,,,,,,,6,4,,,,,,,,
,EWART,C B Ewart,C.B.,,,,,,,,,,6,4,,,,,,,,
,EWART,J W G Ewart,J.W.G.,,,,,,,,,,6,4,,,,,,,,
,FLETCHER,H B Fletcher,H.B.,,,,,,,,,,6,4,,,,,,,,
,FORD,A R Ford,A.R.,,,,,,,,,,6,4,,,,,,,,
,FORD,K Ford,K.,,,,,,,,,,6,4,,,,,,,,
,FOWLER,W Fowler,W.,,,,,,,,,,6,4,,,,,,,,
,FRENCH,A French,A.,,Killed in action,,,,,,,,6,4,,,,,,,,
,FRENCH,H French,H.,,,,,,,,,,6,4,,,,,,,,
,GIBSON,J R Gibson,J.R.,,,,,,,,,,6,4,,,,,,,,
,GILMORE,H A Gilmore,H.A.,,,,,,,,,,6,4,,,,,,,,
,GILMORE,S H Gilmore,S.H.,,,,,,,,,,6,4,,,,,,,,
,GOODMAN,W E Goodman,W.E.,,Killed in action,,,,,,,,6,4,,,,,,,,
,HILL,T J Hill,T.J.,,,,,,,,,,6,4,,,,,,,,
,HUNT,A S Hunt,A.S.,,Killed in action,,,,,,,,6,4,,,,,,,,
,HUNT,G B F Hunt,G.B.F.,,Killed in action,,,,,,,,6,4,,,,,,,,
,McCLELLAND,R E Mcclelland,R.E.,,,,,,,,,,6,4,,,,,,,,
,PITMAN,T L Pitman,T.L.,,Killed in action,,,,,,,,6,4,,,,,,,,
,PURSELL,A S Pursell,A.S.,,,,,,,,,,6,4,,,,,,,,
,PURSELL,F G Pursell,F.G.,,,,,,,,,,6,4,,,,,,,,
,RABONE,F H Rabone,F.H.,,,,,,,,,,6,4,,,,,,,,
,RABONE,H Rabone,H.,,,,,,,,,,6,4,,,,,,,,
,RIDGWAY,J M Ridgway,J.M.,,,,,,,,,,6,4,,,,,,,,
,RIDGWAY,C Ridgway,C.,,,,,,,,,,6,4,,,,,,,,
,SAUNDERS,E W Saunders,E.W.,,,,,,,,,,6,4,,,,,,,,
,SMITH,H G Smith,H.G.,,,,,,,,,,6,4,,,,,,,,
,STEWART,W K Stewart,W.K.,,Killed in action,,,,,,,,6,4,,,,,,,,
,TONKING,L Tonking,L.,,,,,,,,,,6,4,,,,,,,,
,TRELOAR,A H Treloar,A.H.,,,,,,,,,,6,4,,,,,,,,
,TRELOAR,W J Treloar,W.J.,,,,,,,,,,6,4,,,,,,,,
,TURNER,H W Turner,H.W.,,,,,,,,,,6,4,,,,,,,,
,WATKINS,F S L Watkins,F.S.L.,,Killed in action,,,,,,,,6,4,,,,,,,,
,WEATHERLAKE,L G Weatherlake,L.G.,,,,,,,,,,6,4,,,,,,,,
Nurse,FLETCHER,M B Fletcher,M.B.,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,,,,,,,,,,,,,6,4,,,,,,,,
,Bennett,E Bennett,E.,,Died on service,,,,,,,,5,3,,,,,,,,
,Burt,M Burt,M.,,,,,,,,,,5,3,,,,,,,,
,Buckle,A R Buckle,A.R.,,,,,,,,,,5,3,,,,,,,,
,Bull,H Bull,H.,,,,,,,,,,5,3,,,,,,,,
,Bath,V Bath,V.,,,,,,,,,,5,3,,,,,,,,
,Curtis,R Curtis,R.,,,,,,,,,,5,3,,,,,,,,
,Crewe,E Crewe,E.,,,,,,,,,,5,3,,,,,,,,
,Cooke,C Cooke,C.,,,,,,,,,,5,3,,,,,,,,
,Clarke,J Clarke,J.,,,,,,,,,,5,3,,,,,,,,
,Cook,B Cook,B.,,,,,,,,,,5,3,,,,,,,,
,Cannon,R G Cannon,R.G.,,Died on service,,,,,,,,5,3,,,,,,,,
,Cannon,W J Cannon,W.J.,,,,,,,,,,5,3,,,,,,,,
,Copeland,A Copeland,A.,,,,,,,,,,5,3,,,,,,,,
,Cook,R H Cook,R.H.,,,,,,,,,,5,3,,,,,,,,
,Davis,C Davis,C.,,,,,,,,,,5,3,,,,,,,,
,Fitzgerald,R Fitzgerald,R.,,,,,,,,,,5,3,,,,,,,,
,Griffiths,F Griffiths,F.,,,,,,,,,,5,3,,,,,,,,
,Gay,S Gay,S.,,,,,,,,,,5,3,,,,,,,,
,Hill,L Hill,L.,,,,,,,,,,5,3,,,,,,,,
,Harber,C Harber,C.,,,,,,,,,,5,3,,,,,,,,
,Hooker,H T Hooker,H.T.,,,,,,,,,,5,3,,,,,,,,
,Hale,L Hale,L.,,,,,,,,,,5,3,,,,,,,,
,Jacobs,L Jacobs,L.,,,,,,,,,,5,3,,,,,,,,
,Johnson,R Johnson,R.,,,,,,,,,,5,3,,,,,,,,
,James,A James,A.,,,,,,,,,,5,3,,,,,,,,
,Kedgh,A Kedgh,A.,,,,,,,,,,5,3,,,,,,,,
,Lane,E Lane,E.,,,,,,,,,,5,3,,,,,,,,
,Lawrence,C Lawrence,C.,,,,,,,,,,5,3,,,,,,,,
,Lloyd,A Lloyd,A.,,Died on service,,,,,,,,5,3,,,,,,,,
,Madden,B Madden,B.,,,,,,,,,,5,3,,,,,,,,
,McGregor,A Mcgregor,A.,,,,,,,,,,5,3,,,,,,,,
,McElhone,F E Mcelhone,F.E.,,,,,,,,,,5,3,,,,,,,,
,Massie,N Massie,N.,,,,,,,,,,5,3,,,,,,,,
,McGibbin,O Mcgibbin,O.,,,,,,,,,,5,3,,,,,,,,
,Newling,A Newling,A.,,,,,,,,,,5,3,,,,,,,,
,O'Brien,C O'Brien,C.,,,,,,,,,,5,3,,,,,,,,
,Oatley,G Oatley,G.,,,,,,,,,,5,3,,,,,,,,
,Purse,S Purse,S.,,,,,,,,,,5,3,,,,,,,,
,Phipps,Dr J H Phipps,Dr. J.H.,,,,,,,,,,5,3,,,,,,,,
,Reynolds,H Reynolds,H.,,Died on service,,,,,,,,5,3,,,,,,,,
,Ryrie,Brig Gen Ryrie,Brig. Gen.,,,,,,,,,,5,3,,,,,,,,
,Smith,T Smith,T.,,,,,,,,,,5,3,,,,,,,,
,Turner,W Turner,W.,,,,,,,,,,5,3,,,,,,,,
,Turner,E Turner,E.,,,,,,,,,,5,3,,,,,,,,
,Ulm,J Ulm,J.,,,,,,,,,,5,3,,,,,,,,
,Wilson,W Wilson,W.,,,,,,,,,,5,3,,,,,,,,
,Wilson,R Wilson,R.,,,,,,,,,,5,3,,,,,,,,
,Workman,L Workman,L.,,,,,,,,,,5,3,,,,,,,,
,Wright,W Wright,W.,,Died on service,,,,,,,,5,3,,,,,,,,
,Wagstaffe,W Wagstaffe,W.,,,,,,,,,,5,3,,,,,,,,
,Woodforde,P Woodforde,P.,,Died on service,,,,,,,,5,3,,,,,,,,
,Woodforde,C Woodforde,C.,,,,,,,,,,5,3,,,,,,,,
,Gillfillan,R A Gillfillan,R.A.,,,,,,,,,,18,14,,,,,,,,
,Sleeman,T Sleeman,T.,,,,,,,,,,18,14,,,,,,,,
,Phipps,J A Phipps,J.A.,,,,,,,,,,18,14,,,,,,,,
,Stimson,E A Stimson,E.A.,,,,,,,,,,18,14,,,,,,,,
,AGUTTER,Frederick Agutter,Frederick,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,ARMSTRONG,Victor Seymour Armstrong,Victor Seymour,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BAKER,Herbert (correct name Robert Youille) Baker,Herbert (correct name Robert Youille),,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BANKS,Julian Francis Banks,Julian Francis,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BARKER,Charles Barker,Charles,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BARKER,Eric Hugh Barker,Eric Hugh,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BEAZLEY,Jack (John Stephen) Beazley,Jack (John Stephen),,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BENNETT,"Charles (real name BROWN, Charles Thomas) Bennett","Charles (real name BROWN, Charles Thomas)",,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BINGLE,Ronald Rayden Bingle,Ronald Rayden,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BRADLEY,Richard Bradley,Richard,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BRENNAN,Hugh Brennan,Hugh,,,,,,,DCM MID,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BREWSTER,Frank Edward Brewster,Frank Edward,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BRITTON,Andrew Bernard Britton,Andrew Bernard,,,,,,,MM,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BROWN,Charles Alexander Brown,Charles Alexander,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BUCKERIDGE,Charles Stanley Buckeridge,Charles Stanley,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,BURKE,George Harman Burke,George Harman,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,CAMMACK,William Cammack,William,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,CARR-BOYD,Harrie Montague Carr-Boyd,Harrie Montague,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,CARTER,James Carter,James,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,CHALLEN,Linton John Graham Challen,Linton John Graham,,,,,,,MM,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,CLARKE,Alfred Reginald Clarke,Alfred Reginald,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,COLLETT,Gerald Arthur Collett,Gerald Arthur,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,COOK,Reginald Hastings Cook,Reginald Hastings,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,COOKE,William Herbert Cooke,William Herbert,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,CORNER,Frederick William Corner,Frederick William,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,COSTE,Augustus George Coste,Augustus George,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,COWAN,Oliver Edward Cowan,Oliver Edward,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,CRISFORD,Wilfred Reginald Edgar Crisford,Wilfred Reginald Edgar,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,CROWLEY,Henry Crowley,Henry,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,DAVEY,Robert Samuel Davey,Robert Samuel,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,DAVIDSON,William Robert Davidson,William Robert,,,,,,,MC MID,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,DAVIE,James Davie,James,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,DAVIES,Leslie Davies,Leslie,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,DAWSON,George Arthur Dawson,George Arthur,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,DAY,Frank Harold Day,Frank Harold,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,DODDS,Daryl James Gilchrist Dodds,Daryl James Gilchrist,,,,,,,MID,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,DREW,George (correct name Sydney George Washington Drew) Drew,George (correct name Sydney George Washington Drew),,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,ELLIS,Henry Ellis,Henry,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,FALLICK,Percy Hobson Fallick,Percy Hobson,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,FISHER,Albert Victor Fisher,Albert Victor,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,FISK,Gordon Fisk,Gordon,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,FISK,Newton Fisk,Newton,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,FORSYTH,"Kenneth McQuarie (served as Forsyth, Harry Kenneth) Forsyth","Kenneth McQuarie (served as Forsyth, Harry Kenneth)",,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,FRENCH,Albert Lester French,Albert Lester,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,GALBRAITH,Frederick McAdam Galbraith,Frederick McAdam,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,GASTER,Ernest Gaster,Ernest,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,GILFILLAN,Roy Dunsmore Gilfillan,Roy Dunsmore,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,GILMAN,Gordon Gilman,Gordon,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,GOODMAN,William Edwin Goodman,William Edwin,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,GORRIE,Archibald James Gorrie,Archibald James,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,GREY,Herbert Grey,Herbert,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,GUTHRIE,Malcolm Edward Percy Guthrie,Malcolm Edward Percy,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,HARDING,Harold John Harding,Harold John,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,HARDMAN,"John Phillip (real name JONES, John Phillip) Hardman","John Phillip (real name JONES, John Phillip)",,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,HARRISON,Arthur Gordon Harrison,Arthur Gordon,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,HEDGER,Henry Victor Hedger,Henry Victor,,,,,,,MID,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,HOGAN,Patrick Francis Hogan,Patrick Francis,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,HOLDEN,Hugh Cyprian Holden,Hugh Cyprian,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,HOLTSBAUM,Thomas Richard Holtsbaum,Thomas Richard,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,HUET,Frank Pearce Yarrington Huet,Frank Pearce Yarrington,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,HULM,Frederick Cornelius Hulm,Frederick Cornelius,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,HURLEY,Sydney Norman Hurley,Sydney Norman,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,JENNINGS,Victor Randolph Jennings,Victor Randolph,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,JEWKES,Wallace Gordon Jewkes,Wallace Gordon,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,JHONSON,Charles Aubrey Jhonson,Charles Aubrey,,,,,,,MC,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,JONES,Rupert Charles Jones,Rupert Charles,,,,,,,MC,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,JONES,Waldo Emerson Jones,Waldo Emerson,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,KEENAN,Thomas Augustine Keenan,Thomas Augustine,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,KELLY,Valentine William Kelly,Valentine William,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,LADD,Bruce Ladd,Bruce,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,LAST,Leonard William Glanfield Last,Leonard William Glanfield,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,LITTLE,Robert Hugh Little,Robert Hugh,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,LOWING,Walter Harold Lowing,Walter Harold,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,LUTHER,Frank Mordaunt Luther,Frank Mordaunt,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,McCALLUM,Sidney Walter Mccallum,Sidney Walter,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MACDONALD,Roderick Francis Macdonald,Roderick Francis,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,McFADDEN,Robert Joseph Mcfadden,Robert Joseph,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,McKELL,Victor Cleveland Mckell,Victor Cleveland,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MARSH,Edward William Marsh,Edward William,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MARSHALL,John Francis Marshall,John Francis,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MARTIN,Thomas James Benedict Martin,Thomas James Benedict,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MAY,Royston Kenilworth Sydney May,Royston Kenilworth Sydney,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MAYERS,Horace Russell Mayers,Horace Russell,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MAYO,Bruce Selwyn Mayo,Bruce Selwyn,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MEGGY,Albert Edward Meggy,Albert Edward,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MEGGY,Douglas Ackland Meggy,Douglas Ackland,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MITCHELL,James Mitchell,James,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MOORE,Roy George Moore,Roy George,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MOREL,Charles Albert Morel,Charles Albert,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MUGLISTON,Thomas Daly Mugliston,Thomas Daly,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
,MUIRHEAD,Lawford Dudley Muirhead,Lawford Dudley,,,,,,,,,,1,"Their Name Liveth for Evermore - Mosman's Dead in the Great War 1914-1918 - George Franki, 2011",,,,,,,,
