Rank,Last Name,display,Initials,Conflict,Status,Service,Unit,Campaign,Gender,Decorations,Serv.No,Notes,Memorial,Memorial id,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,WOODFORDE,A Woodforde,A.,,,,,,,,,,8,6,,,,,,,,
,WOODFORDE,M Woodforde,M.,,,,,,,,,,8,6,,,,,,,,
,YULE,E Yule,E.,,,,,,,,,,8,6,,,,,,,,
,ALLPORT,R B Allport,R.B.,,,,,,,,,,4,2,,,,,,,,
,ALLPORT,J A Allport,J.A.,,,,,,,,,,4,2,,,,,,,,
,ALLWORTH,L E Allworth,L.E.,,,,,,,,,,4,2,,,,,,,,
,ALLWORTH,M Allworth,M.,,,,,,,,,,4,2,,,,,,,,
,BARLING,M Barling,M.,,,,,,,,,,4,2,,,,,,,,
,BERTRAM,D Bertram,D.,,,,,,,,,,4,2,,,,,,,,
,BINNS,A Binns,A.,,,,,,,,,,4,2,,,,,,,,
,BINNS,C Binns,C.,,,,,,,,,,4,2,,,,,,,,
,BLACKLOW,J Blacklow,J.,,,,,,,,,,4,2,,,,,,,,
,BOLTON,K Bolton,K.,,,,,,,,,,4,2,,,,,,,,
,BOYCE,C L Boyce,C.L.,,,,,,,,,,4,2,,,,,,,,
,BRODIE,R Brodie,R.,,,,,,,,,,4,2,,,,,,,,
,BRODIE,F A Brodie,F.A.,,,,,,,,,,4,2,,,,,,,,
,BROOKE,J A Brooke,J.A.,,,,,,,,,,4,2,,,,,,,,
,BUCHANAN,R B Buchanan,R.B.,,,,,,,,,,4,2,,,,,,,,
,BULL,H H [M M ?] Bull,H.H. [M.M.?],,,,,,,,,,4,2,,,,,,,,
,CAMPBELL,G Campbell,G.[?],,,,,,,,,,4,2,,,,,,,,
,CASPER,R R Casper,R.R.,,,,,,,,,,4,2,,,,,,,,
,CHASELING,E H Chaseling,E.H.,,,,,,,,,,4,2,,,,,,,,
,CHILD,A C Child,A.C.,,,,,,,,,MASTERS,4,2,,,,,,,,
,COLQUHOUN,R S Colquhoun,R.S.,,,,,,,,,,4,2,,,,,,,,
,COOKE,E A Cooke,E.A.,,,,,,,,,MASTERS,4,2,,,,,,,,
,CORNISH,E W Cornish,E.W.,,,,,,,,,,4,2,,,,,,,,
,CORRICK,L C Corrick,L.C.,,,,,,,,,,4,2,,,,,,,,
,CULLEN,W H Cullen,W.H.,,,,,,,,,,4,2,,,,,,,,
,D'OMBRAIN,A V D'Ombrain,A.V.,,,,,,,,,,4,2,,,,,,,,
,DANGER,H Danger,H.,,,,,,,,,,4,2,,,,,,,,
,DAVIS,G Davis,G.,,,,,,,,,,4,2,,,,,,,,
,DAY,F H Day,F.H.,,Wounded,,,,,,,,4,2,,,,,,,,
,DOAK,F Doak,F.,,,,,,,,,,4,2,,,,,,,,
,DOAK,J Doak,J.,,,,,,,,,,4,2,,,,,,,,
