126,BRUCE R.,Bruce,R.
127,FAZIO J. H.,Fazio,J. H.
128,KING T. T. S.,King,T. T. S.
129,PENKETH P. J.,Penketh,P. J.
130,UPTON S. A.,Upton,S. A.
131,BRYANT D. A.,Bryant,D. A.
132,FERNANCE D. L.,Fernance,D. L.
133,KLINTWORTH W. M.,Klintworth,W. M.
134,PENLY E. R. G.,Penly,E. R. G.
135,WALKER H. S.,Walker,H. S.
136,BRYANT K. H.,Bryant,K. H.
137,FINDLAY A. P.,Findlay,A. P.
138,LACEY E. S.,Lacey,E. S.
139,PERIER N. S.,Perier,N. S.
140,WATKINS F. S. L.,Watkins,F. S. L.
141,BUCHANAN A. J.,Buchanan,A. J.
142,FITNESS W. J.,Fitness,W. J.
143,LAING W. L.,Laing,W. L.
144,PORTUS F.,Portus,F.
145,WATSON T. W.,Watson,T. W.
146,BULL R. C.,Bull,R. C.
147,FITZGERALD C. L.,Fitzgerald,C. L.
148,LAST L. W. G.,Last,L. W. G.
149,POUGET W.,Pouget,W.
150,WESTBROOK A. R.,Westbrook,A. R.
151,BURLACE W. H.,Burlace,W. H.
152,FLEW E. D.,Flew,E. D.
153,LE QUESNE C. H.,Le,QUESNE C. H.
154,PROCTOR J. T. C.,Proctor,J. T. C.
155,WHITE C. H. O.,White,C. H. O.
156,CANNON R. G.,Cannon,R. G.
157,FORD R.,Ford,R.
158,LESTER G.,Lester,G.
159,REEVE H. M.,Reeve,H. M.
160,WILLIAMS S. C. H.,Williams,S. C. H.
161,CARNEY W. G.,Carney,W. G.
162,FORSYTH A. A.,Forsyth,A. A.
163,LEVER H. P.,Lever,H. P.
164,REYNOLDS H. A. T.,Reynolds,H. A. T.
165,WILLIS E. E.,Willis,E. E.
166,CARRUTHERS J.,Carruthers,J.
167,FULLER E. J.,Fuller,E. J.
168,LIVESEY W. C.,Livesey,W. C.
169,RICHARDS H.,Richards,H.
170,WILSON O. W.,Wilson,O. W.
171,CHAMBERS L. K.,Chambers,L. K.
172,GARLAND C. S.,Garland,C. S.
173,LLOYD A. V. R.,Lloyd,A. V. R.
